1-1;
70’S;SEVENTIES
70'S;SEVENTIES
ADIEU;
AFFÛTÉ;
AMBIANT;AMBIENT
ÂME;
AMIS;
ANGLAIS;
ARCTIQUE;
ARRACHE;
ARRANGEMENTS;
AUX;
AVANT;
AVANT-GARDE;AVANT-GARDISTE
AVANT-AVANT-AVANT-GARDISTE;AVANT-GARDISTE
AVEC;
AVINÉ;
BARIOLÉ;
BARRIÈRES;
BÂTARD;
BIEN;
BON ;
BOURRIN;
BOUILLONNANTE;
BOVIN;
BY;
CABARET;
CAMÉS;
CAPTIVANT;
CARAÏBES;
CELTISANT;
CHANT;
CINÉMATOGRAPHIQUE;
CLASSIEUX;
CLICHESQUE;
CO ;
COCHON;
COMPLEXES;
CONFIRME;
CONSONANCE;
CONTEMPLATIVE;
CONTAGIEUX;
CONVAINCANT;
COUILLU;
COWBOY;
CRADINGUE;
CRÉATIF;
CREVANT;
CRU;
CULTE;
DANS;
DE;
DEAD;
DES;
DÉSARTICULÉ;
DISCIPLINÉ;
DISCOUNT;
DUR;
ÉCHEVELÉ;
ECLECTIQUE;
ÉCLECTIQUE;
EFFÉMINÉ;
ELECTRO;ÉLECTRONIQUE
ELECTRONIC;ÉLECTRONIQUE
ELECTRONICA;ÉLECTRONIQUE
ENERVÉ;
ENVOÛTANT;
EPAIS;
EXPERIMENTAL;EXPÉRIMENTAL
EXTREME;EXTRÊME
FACE;
FAÇON;
FANTAISISTE;
FANTASY;
FESTIVE;
FOURRE;
FOUR;
FRANCE;FRANÇAIS
FRENCH;FRANÇAIS
FRONTED;
FUCKING;
FUMANT;
FUNÉRAIRE;
FURIEUX;
FUSIONIQUE;
GÂCHÉES;
GARDISTE;
GAUDRIOLE;
GAY;
GÉNIE;
GENTILLET;
GÖTHEBORG;GÖTEBORG
GOTHENBURG;GÖTEBORG
GROOVE;GROOVY
INDÉ;INDÉPENDANT
INDIE;INDÉPENDANT
INSTRUMENTALE;INSTRUMENTAL
MEDIEVAL;MÉDIÉVAL
MELANCHOLIC;MÉLANCOLIQUE
MELANCOLIC;MÉLANCOLIQUE
MELO;MÉLODIQUE
MÉLO;MÉLODIQUE
MELODIC;MÉLODIQUE
MELODIQUE;MÉLODIQUE
MELODISCH;MÉLODIQUE
MÉTALLIQUE;
OLD-SCHOOL;OLD SCHOOL
SYMPHO;SYMPHONIQUE
SYMPHOCHIANT;SYMPHONIQUE
SYMPHONIC;SYMPHONIQUE
SYMPHONIE;SYMPHONIQUE
TECHNICAL;TECHNIQUE
TECHNO;TECHNIQUE
GODS;
GOES;
GRAISSEUX;
GRANDE;
GRANDIOSE;
GRAS;
GUERRIER;
GUETTA;
HAUTE;
HERMAPHRODITE;
HÉSITANT;
HEURES;
IDÉES;
IDENTITAIRE;
IMPROBABLE;
INDISPENSABLE;
INÉGALABLE;
INFERNAL;
INFLUENCE;
INFLUENCÉ;
INHABITUELLEMENT;
INOXYDABLE;
INSPIRÉ;
INTELLO;
ISIS;
IVÔLE;
KRÉATEUR;
KUBRICKIEN;
L'EST;
LA;
LATE;
LE;
LÉGENDAIRE;
LINÉAIRE;
LOCOMOTIVE;
LOUCHE;
LOURD;
LUNATIQUE;
LYRICAL;LYRIQUE
MADE;
MAGIQUE;
MAIS;
MÂLE;
MARTELÉ;
MINIMALISTE;
MINUTE;
MODERN;MODERNE
MOLLASSON;
MORDANT;
MOTORHEADIEN;
MOTORISÉ;
MUSCLÉ;
MUSCLÉE;
MYSTIC;
MYTHIQUE;
NAISSANCE;
NAPALM;
NAPALMISÉ;
NOT;
OCCULTO;OCCULTE
ORIGINEL;
PAPAYOU;
PARFOIS;
PAROXYSME;
PAS;
PATAUD;
PERCUTANT;
PERSO;
PERSONNEL;
PESANT;
PLAISANT;
POILU;
POT;
PRESQUE;
PUIS;
QUEEN;
QUI;
REAL;
RÉFÉRENCIEL;
SAISON;
SANS;
SEMI;
SES;
SI;
SOFT;
SOMBRE;
SOPHISTIQUÉE;
SOUS;
STANDARD;
TÂCHE;
TASSÉ;
TEINTÉ;
TERROIR;
TEXANE;
THRASHENED;
TOP;
TOUT;
TOUS;
TRADITION;
TRANSCENDÉ;
TRÈS;
TRIP;
TYPÉ;
ULTRA;
US;
VÉRITABLE;
VERY;
VIRIL;
VOLÉE;
YOUR;

ABORDABLE;
CLASSE;
CONTENT;
CONVENU;
D-BEAT;
DÉSESPÉRÉ;
HAS-BEEN;
INGÉNIEUX;
MARMITE;
MECANIK;
MONTRE;
POIL;
PREMIÈRES;
RELENTS;
ROBORATIF;
SIÈCLE;
SUBTILS;
TENDANCES;
VELOURS;
VOIX;
FEMALE;VOIX FÉMININE
CHANTEUSE;VOIX FÉMININE
FÉMININ;VOIX FÉMININE
UN;
